Source,Target,Weight
625,12523,4
626,12523,4
627,12523,4
628,12523,4
629,12523,4
630,12523,4
631,12523,4
632,12523,4
633,12523,4
634,12523,4
635,12523,4
608,12524,2
608,12526,3
608,12527,10
257,12527,10
636,12527,1
608,12528,1
637,12529,47
171,12529,29
319,12529,11
638,12529,1
639,12529,1
153,12530,58
575,12532,44
640,12532,19
641,12533,34
642,12533,1
643,12533,1
62,12534,3
644,12535,38
645,12536,29
646,12537,63
647,12537,1
168,12538,35
217,12539,6
648,12539,4
31,12540,112
33,12540,48
34,12540,18
35,12540,17
40,12540,9
41,12540,7
42,12540,6
49,12540,4
39,12540,3
52,12540,3
43,12540,3
58,12540,2
59,12540,2
649,12540,2
650,12540,1
651,12540,1
45,12540,1
46,12540,1
652,12540,1
3,12540,1
653,12542,7
33,12543,6
43,12543,2
5,12545,1
5,12546,1
654,12547,29
31,12547,22
655,12547,20
656,12547,17
242,12547,11
657,12547,3
658,12547,2
659,12547,2
660,12547,1
661,12547,1
162,12548,30
662,12549,63
111,12550,3
36,12551,154
32,12551,115
30,12551,95
31,12551,58
175,12551,42
33,12551,33
34,12551,23
176,12551,21
57,12551,20
45,12551,17
39,12551,13
41,12551,8
38,12551,6
43,12551,6
116,12551,5
153,12551,4
49,12551,4
35,12551,4
15,12551,3
179,12551,3
42,12551,3
171,12551,2
180,12551,2
181,12551,2
182,12551,1
663,12551,1
61,12551,1
664,12551,1
665,12551,1
370,12551,1
30,12552,269
31,12552,249
33,12552,72
32,12552,53
34,12552,29
35,12552,20
36,12552,17
39,12552,9
40,12552,9
41,12552,8
42,12552,7
43,12552,6
44,12552,5
45,12552,5
47,12552,4
49,12552,4
50,12552,4
52,12552,3
53,12552,3
54,12552,2
56,12552,2
57,12552,2
58,12552,2
59,12552,2
367,12552,2
666,12552,2
667,12552,2
668,12552,2
649,12552,2
669,12552,2
670,12553,44
671,12553,11
31,12554,42
33,12554,30
34,12554,21
176,12554,13
39,12554,11
32,12554,10
41,12554,8
43,12554,6
217,12554,5
153,12554,4
49,12554,4
42,12554,3
35,12554,3
45,12554,2
57,12554,2
649,12554,2
664,12554,1
370,12554,1
672,12554,1
673,12554,1
674,12554,1
367,12554,1
675,12554,1
373,12554,1
676,12554,1
677,12554,1
40,12554,1
403,12555,34
405,12555,4
217,12557,28
678,12559,4
679,12560,161
680,12560,77
681,12560,23
682,12560,18
683,12560,10
684,12560,6
685,12560,4
686,12560,3
687,12560,3
688,12560,3
689,12560,2
690,12560,1
691,12560,1
0,12561,32
214,12561,20
153,12562,20
692,12564,6
693,12565,246
445,12565,19
694,12565,10
695,12565,5
696,12565,5
697,12565,3
698,12565,3
699,12565,1
700,12565,1
701,12565,1
702,12565,1
703,12565,1
704,12565,1
705,12565,1
706,12565,1
707,12565,1
708,12565,1
709,12565,1
710,12565,1
711,12565,1
712,12565,1
153,12567,79
607,12567,10
713,12567,4
714,12567,3
715,12567,1
393,12567,1
716,12568,30
676,12568,7
3,12568,6
4,12568,4
717,12568,2
718,12568,2
719,12568,2
570,12568,2
720,12568,1
721,12568,1
470,12568,1
89,12568,1
722,12568,1
723,12568,1
724,12568,1
725,12568,1
726,12568,1
727,12568,1
11,12569,2
0,12570,20
54,12570,10
728,12571,25
729,12571,2
730,12572,7
433,12572,1
731,12573,115
146,12573,4
732,12573,1
731,12574,111
146,12574,4
732,12574,1
143,12575,19
733,12577,61
734,12577,17
735,12577,2
736,12578,333
737,12578,37
738,12578,14
739,12578,6
740,12578,5
741,12578,5
742,12578,4
743,12578,4
744,12578,4
745,12578,3
746,12578,3
747,12578,3
748,12578,2
749,12578,2
750,12578,2
751,12578,2
752,12578,2
101,12578,2
753,12578,2
754,12578,2
755,12578,2
756,12578,2
757,12578,2
758,12578,2
759,12578,2
760,12578,2
761,12578,2
762,12578,2
763,12578,2
764,12578,1
31,12580,85
33,12580,45
35,12580,10
42,12580,6
34,12580,4
49,12580,4
39,12580,3
52,12580,3
58,12580,2
59,12580,2
649,12580,2
650,12580,1
651,12580,1
652,12580,1
43,12580,1
3,12580,1
765,12581,29
1,12581,18
217,12581,10
162,12581,9
766,12582,1
438,12583,28
369,12583,1
767,12584,1
768,12585,177
717,12585,1
769,12586,330
770,12586,214
771,12586,61
379,12586,51
249,12586,25
8,12586,22
30,12586,12
772,12586,5
773,12586,4
774,12586,2
775,12586,1
776,12586,1
438,12587,113
439,12587,19
369,12587,1
777,12588,37
778,12589,17
57,12590,32
778,12590,3
779,12591,7
780,12592,81
781,12592,12
782,12592,10
783,12592,1
784,12592,1
778,12592,1
184,12593,3
785,12594,1
31,12596,186
30,12596,179
33,12596,72
32,12596,48
34,12596,28
35,12596,17
36,12596,10
39,12596,9
40,12596,9
41,12596,8
42,12596,7
44,12596,5
43,12596,5
47,12596,4
45,12596,4
49,12596,4
50,12596,4
52,12596,3
53,12596,3
56,12596,2
57,12596,2
58,12596,2
59,12596,2
367,12596,2
666,12596,2
668,12596,2
649,12596,2
669,12596,2
786,12596,1
650,12596,1
787,12597,12
788,12598,43
15,12600,53
394,12600,1
