id,label,type
20909,thoughtbot/hoptoad_notifier,repository
20956,halorgium/dm-core-old,repository
20958,miguelhorlle/hello-world,repository
20974,ynadji/hello-world,repository
21009,virtix/hello-world,repository
21011,IronLanguages/rubyspec,repository
21013,IronLanguages/mspec,repository
21062,edavis10/radiant,repository
21064,wvanbergen/request-log-analyzer,repository
21079,jhf/rails,repository
21083,jacques/god,repository
21144,hotchpotch/grit,repository
21158,halr9000/hello-world,repository
21182,joshua/hello-world,repository
21217,zlar/rails,repository
21242,petergunz/sequel,repository
21301,entp/seinfeld,repository
21372,showaltb/shoulda,repository
21406,jbaker/hello-world,repository
21421,bmizerany/grit,repository
21438,hnchuong/rails,repository
21463,hnchuong/attachment_fu,repository
21489,bkerley/grit,repository
21566,yugui/rubyspec,repository
21607,pingdomserver/scout-plugins,repository
21650,kevwil/thin,repository
21709,qugengsheng/github-gem,repository
21710,ricardochimal/thin,repository
21717,mwalker/grit,repository
21820,yugui/mspec,repository
21862,dburkes/attachment_fu,repository
22053,ckozus/capistrano,repository
22092,kakra/hello-world,repository
22101,clemens/i18n_demo_app,repository
22123,johnreilly/restful-authentication,repository
22251,fafachd/rails,repository
22291,halorgium/gitjour,repository
22295,eventualbuddha/rails,repository
22297,brendano/hello-world,repository
22308,wolpos/thinking-sphinx,repository
22329,jkrall/attachment_fu,repository
22420,pboling/exception_notification,repository
22424,anibalcucco/restful-authentication,repository
22425,tiegz/docrails,repository
22462,devjj/merb-plugins,repository
22463,devjj/merb-more,repository
22506,paramaw/rails,repository
22525,nicksieger/multipart-post,repository
22534,ian-xx/rails,repository
22553,chadlester/webrat,repository
22568,tonyd/restful-authentication,repository
22617,derdewey/prawn,repository
22735,hedley/merb-core,repository
22736,hedley/merb-more,repository
22737,hedley/merb-plugins,repository
22766,addywaddy/webrat,repository
22782,xiguan/rails,repository
22820,ntalbott/mephisto,repository
22826,rwilcox/ruby-on-rails-tmbundle,repository
22885,greglu/restful-authentication-with-email,repository
22911,anselmo/thin,repository
22926,eventmachine/eventmachine,repository
22991,chuyeow/ramaze,repository
23031,thilo/webrat,repository
23048,drnic/sake-tasks,repository
23060,ryanb/thinking-sphinx,repository
23087,foeken/webrat,repository
23113,thinkcreate/sake-tasks,repository
23141,mikal-zz/restful-authentication,repository
23152,fizx/restful-authentication,repository
23201,joshn/thinking-sphinx,repository
23236,wesabe/grit,repository
23264,ValMilkevich/restful-authentication,repository
23279,jcoglan/rails,repository
23285,tosh/vim-setup,repository
23303,oddlyzen/rails,repository
23325,nicholaides/dm-core,repository
23367,peterc/whatlanguage,repository
23535,Zotillo/hello-world,repository
23536,Zotillo/book_mdar,repository
23579,rwestgeest/dm-core,repository
23581,rwestgeest/dm-more,repository
23586,weplay/rspec-rails,repository
23589,jquery/sizzle,repository
23643,defunkt/gist.el,repository
23723,dce/thinking-sphinx,repository
23751,rawwell/rails,repository
23784,yyyc514/grit,repository
23800,sermoa/restful-authentication,repository
23808,obtiva/rails,repository
23818,shayarnett/thinking-sphinx,repository
