Source,Target,Weight
586,18546,3
586,18548,5
175,18564,30
34,18564,28
30,18564,23
31,18564,22
35,18564,8
153,18564,2
58,18564,2
189,18571,53
471,18571,4
470,18664,2891
471,18664,1861
3,18664,441
482,18664,403
488,18664,343
480,18664,72
189,18664,62
2387,18664,52
663,18664,6
117,18664,6
586,18664,3
4,18696,3
3,18720,14
142,18720,5
153,18720,1
470,18738,2891
471,18738,1866
3,18738,441
482,18738,403
488,18738,343
480,18738,72
189,18738,62
2387,18738,52
663,18738,7
117,18738,6
586,18738,3
30,18858,1
142,18865,2
471,18865,1
142,18866,3
3,18884,14
142,18884,5
153,18884,1
470,18895,2891
471,18895,1872
3,18895,441
482,18895,403
488,18895,343
480,18895,72
189,18895,65
2387,18895,52
663,18895,7
117,18895,6
586,18895,3
4,18912,1
117,18928,3
3,18928,2
153,18960,1
142,18960,1
586,18985,3
30,19014,13
34,19014,11
175,19014,4
31,19014,3
35,19014,2
58,19087,6
35,19137,36
470,19297,2891
471,19297,1876
3,19297,449
482,19297,403
488,19297,343
480,19297,77
189,19297,66
2387,19297,52
663,19297,8
117,19297,6
586,19297,3
488,19306,67
142,19310,2
471,19310,1
4,19350,3
25,19350,2
34,19443,33
175,19443,3
153,19501,1
25,19501,1
142,19501,1
175,19523,6
25,19548,1
470,19651,2891
471,19651,1877
3,19651,450
482,19651,416
488,19651,343
189,19651,85
480,19651,82
2387,19651,52
663,19651,8
117,19651,6
586,19651,3
470,19657,2897
471,19657,1932
3,19657,450
482,19657,427
488,19657,344
189,19657,184
480,19657,97
2387,19657,52
663,19657,10
117,19657,10
586,19657,3
470,19700,2891
471,19700,1877
3,19700,450
482,19700,417
488,19700,343
189,19700,85
480,19700,82
2387,19700,52
663,19700,8
117,19700,6
586,19700,3
3,19776,1
4,19779,6
586,19779,5
58,19779,4
4,19844,6
586,19844,5
58,19844,4
470,19869,2891
471,19869,1877
3,19869,450
482,19869,417
488,19869,343
189,19869,85
480,19869,82
2387,19869,52
663,19869,8
117,19869,6
586,19869,3
470,19896,2944
471,19896,1998
482,19896,469
3,19896,456
488,19896,346
189,19896,219
480,19896,142
2387,19896,52
142,19896,33
117,19896,14
663,19896,10
83,19921,78
31,19921,77
4,19949,2
3,19949,1
470,20003,2892
471,20003,1886
3,20003,450
482,20003,418
488,20003,343
189,20003,85
480,20003,82
2387,20003,52
663,20003,10
117,20003,6
586,20003,3
142,20011,3
142,20012,3
471,20012,1
30,20051,9
58,20141,6
34,20230,13
30,20230,13
31,20230,8
175,20230,4
35,20230,2
34,20235,27
175,20235,20
31,20235,16
30,20235,9
35,20235,8
153,20235,2
58,20235,2
4,20252,4
117,20269,3
663,20301,8
663,20310,1
34,20499,13
30,20499,13
31,20499,8
175,20499,4
35,20499,2
488,20537,415
470,20537,11
58,20559,23
189,20559,1
470,20572,2973
471,20572,2030
482,20572,489
3,20572,458
488,20572,346
189,20572,225
480,20572,151
2387,20572,53
142,20572,34
117,20572,14
663,20572,10
470,20595,3398
471,20595,3374
189,20595,1106
480,20595,849
482,20595,551
3,20595,461
31,20595,430
488,20595,354
488,20616,408
470,20616,11
470,20620,4235
471,20620,3726
189,20620,1109
480,20620,993
482,20620,556
3,20620,461
175,20671,6
3,20707,14
142,20707,5
153,20707,1
31,20806,57
30,20806,48
175,20806,41
34,20806,23
153,20806,4
35,20806,4
3,20813,14
142,20813,5
153,20813,1
586,20831,1
4,20841,3
663,20874,1
58,20909,1
34,20956,71
31,20956,12
4,20958,4
4,20974,4
4,21009,3
142,21011,3
142,21013,3
586,21062,1
58,21064,4
30,21064,1
470,21079,2933
471,21079,1998
482,21079,468
3,21079,456
488,21079,346
189,21079,213
480,21079,136
2387,21079,52
142,21079,33
117,21079,14
663,21079,10
4,21083,3
4,21144,17
3,21144,3
25,21144,1
83,21144,1
4,21158,4
4,21182,4
470,21217,2896
471,21217,1904
3,21217,450
482,21217,424
488,21217,343
189,21217,149
480,21217,95
2387,21217,52
663,21217,10
117,21217,6
586,21217,3
35,21242,36
3,21301,104
25,21301,2
58,21372,6
4,21406,4
4,21421,17
3,21421,3
25,21421,1
83,21421,1
470,21438,2896
471,21438,1908
3,21438,450
482,21438,426
488,21438,343
189,21438,154
480,21438,96
2387,21438,52
663,21438,10
117,21438,6
586,21438,3
3,21463,14
142,21463,5
153,21463,1
4,21489,18
3,21489,3
25,21489,1
83,21489,1
142,21566,3
58,21607,7
30,21650,17
189,21650,3
663,21650,1
4,21709,48
663,21710,1
4,21717,17
3,21717,3
25,21717,1
83,21717,1
142,21820,3
3,21862,14
142,21862,5
153,21862,1
488,22053,408
470,22053,11
4,22092,4
153,22101,3
3,22123,33
83,22123,1
470,22251,2896
471,22251,1918
3,22251,450
482,22251,427
488,22251,343
189,22251,165
480,22251,97
2387,22251,52
663,22251,10
117,22251,7
586,22251,3
153,22291,1
142,22291,1
470,22295,2896
471,22295,1918
3,22295,450
482,22295,427
488,22295,343
189,22295,165
480,22295,97
2387,22295,52
663,22295,10
117,22295,7
586,22295,3
4,22297,4
117,22308,3
3,22308,2
3,22329,14
142,22329,5
153,22329,1
488,22420,12
470,22420,2
663,22420,1
3,22424,26
83,22424,1
470,22425,2896
471,22425,1912
3,22425,450
482,22425,427
488,22425,343
189,22425,156
480,22425,118
2387,22425,52
663,22425,17
117,22425,6
34,22462,28
175,22462,20
31,22462,16
30,22462,14
35,22462,8
153,22462,2
58,22462,2
30,22463,86
31,22463,57
175,22463,41
34,22463,23
153,22463,4
35,22463,4
663,22463,1
470,22506,3323
471,22506,3188
189,22506,1081
480,22506,846
482,22506,541
3,22506,461
31,22506,412
488,22506,352
142,22525,66
586,22525,1
470,22534,2896
471,22534,1918
3,22534,450
482,22534,427
488,22534,343
189,22534,165
480,22534,97
2387,22534,52
663,22534,10
117,22534,7
586,22534,3
83,22553,5
142,22553,1
3,22568,26
83,22568,1
488,22617,59
30,22735,269
31,22735,249
34,22735,29
35,22735,20
58,22735,2
30,22736,89
31,22736,58
175,22736,41
34,22736,23
153,22736,4
35,22736,4
663,22736,1
34,22737,28
175,22737,20
31,22737,16
30,22737,15
35,22737,8
153,22737,2
58,22737,2
83,22766,5
142,22766,1
470,22782,2896
471,22782,1930
3,22782,450
482,22782,427
488,22782,343
189,22782,169
480,22782,97
2387,22782,52
663,22782,10
117,22782,7
586,22782,3
3,22820,83
153,22826,43
3,22885,26
83,22885,1
663,22911,1
30,22926,4
34,22926,3
189,22926,3
663,22991,1
83,23031,5
142,23031,1
31,23031,1
153,23048,28
4,23048,1
117,23060,6
3,23060,2
83,23087,5
142,23087,1
153,23113,22
4,23113,1
3,23141,26
83,23141,1
3,23152,26
83,23152,1
3,23201,2
4,23236,17
3,23236,3
25,23236,1
83,23236,1
3,23264,26
83,23264,1
470,23279,3406
471,23279,3385
189,23279,1106
480,23279,849
482,23279,552
3,23279,461
31,23279,431
488,23279,354
31,23285,34
34,23285,3
470,23303,2897
471,23303,1932
3,23303,450
482,23303,427
488,23303,344
189,23303,188
480,23303,97
2387,23303,52
117,23303,11
663,23303,10
586,23303,3
34,23325,72
31,23325,13
30,23367,1
4,23535,4
175,23536,6
30,23536,2
34,23579,72
31,23579,28
34,23581,20
30,23581,13
31,23581,8
175,23581,4
35,23581,2
58,23586,1
663,23589,9
4,23643,16
117,23723,3
3,23723,2
470,23751,2897
471,23751,1953
3,23751,450
482,23751,429
488,23751,344
189,23751,193
480,23751,97
2387,23751,52
117,23751,13
663,23751,10
4,23784,17
3,23784,3
25,23784,1
83,23784,1
3,23800,33
83,23800,1
470,23808,2897
471,23808,1966
3,23808,450
482,23808,431
488,23808,344
189,23808,195
480,23808,97
2387,23808,52
117,23808,13
663,23808,10
117,23818,3
3,23818,2
3,23907,14
142,23907,5
153,23907,1
83,23975,5
142,23975,1
4,23986,17
3,23986,3
25,23986,1
83,23986,1
3,24016,16
142,24016,5
153,24016,1
488,24122,460
470,24122,11
470,24183,2880
471,24183,1822
3,24183,436
482,24183,411
488,24183,343
480,24183,71
189,24183,54
2387,24183,52
663,24183,9
117,24183,7
586,24183,3
4,24189,3
153,24240,3
30,24249,296
31,24249,262
34,24249,29
35,24249,20
58,24249,2
488,24390,460
470,24390,11
153,24417,3
470,24428,2897
471,24428,1977
3,24428,450
482,24428,435
488,24428,344
189,24428,206
480,24428,108
2387,24428,52
117,24428,13
663,24428,10
470,24509,2897
471,24509,1978
3,24509,450
482,24509,436
488,24509,344
189,24509,206
480,24509,108
2387,24509,52
142,24509,29
117,24509,13
663,24509,10
58,24536,6
4,24549,24
83,24549,1
4,24597,3
470,24615,2897
471,24615,1978
3,24615,450
482,24615,436
488,24615,344
189,24615,206
480,24615,108
2387,24615,52
142,24615,29
117,24615,13
663,24615,10
3,24718,33
83,24718,1
4,24720,4
470,24750,2897
471,24750,1984
3,24750,450
482,24750,438
488,24750,344
189,24750,206
480,24750,109
2387,24750,52
142,24750,32
117,24750,13
663,24750,10
470,24871,3328
471,24871,3212
189,24871,1081
480,24871,846
482,24871,544
3,24871,461
31,24871,413
488,24871,352
3,24872,33
83,24872,1
4,24998,17
3,24998,3
25,24998,1
83,24998,1
58,25063,13
4,25150,3
30,25189,317
31,25189,263
34,25189,29
35,25189,20
58,25189,2
470,25210,3041
471,25210,2250
482,25210,496
3,25210,458
189,25210,382
488,25210,346
480,25210,234
2387,25210,53
142,25210,34
117,25210,14
663,25210,10
30,25239,27
34,25239,22
175,25239,9
31,25239,8
3,25254,33
83,25254,1
470,25270,2900
471,25270,1995
3,25270,450
482,25270,439
488,25270,344
189,25270,206
480,25270,109
2387,25270,52
142,25270,32
117,25270,13
663,25270,10
470,25289,2900
471,25289,1995
3,25289,450
482,25289,440
488,25289,344
189,25289,206
480,25289,109
2387,25289,52
142,25289,32
117,25289,13
663,25289,10
4,25295,48
58,25318,13
488,25401,452
470,25401,11
3,25404,33
83,25404,1
153,25441,3
586,25508,1
117,25509,3
34,25562,72
31,25562,28
153,25595,3
470,25599,2912
471,25599,1996
3,25599,450
482,25599,443
488,25599,346
189,25599,208
480,25599,110
2387,25599,52
142,25599,32
117,25599,13
663,25599,10
3,25619,33
83,25619,1
35,25675,36
189,25690,12
30,25690,1
3,25708,6
4,25708,4
4,25731,48
586,25786,1
4,25876,3
470,25876,3
4,25903,3
153,25907,30
153,25927,45
470,25979,3112
471,25979,2853
189,25979,927
480,25979,733
482,25979,520
3,25979,460
488,25979,346
31,25979,197
2387,25979,53
142,25979,35
3,25994,20
142,25994,5
153,25994,1
470,26014,2912
471,26014,1996
3,26014,450
482,26014,446
488,26014,346
189,26014,208
480,26014,111
2387,26014,52
142,26014,32
117,26014,13
663,26014,10
586,26014,4
470,26070,2912
471,26070,1996
3,26070,450
482,26070,446
488,26070,346
189,26070,208
480,26070,111
2387,26070,52
142,26070,32
117,26070,13
663,26070,10
586,26070,4
34,26125,21
30,26125,17
31,26125,8
175,26125,4
35,26125,2
30,26128,14
663,26128,1
30,26169,330
31,26169,265
34,26169,32
35,26169,20
58,26169,2
30,26187,36
31,26187,3
34,26187,2
153,26196,2
470,26326,2912
471,26326,1996
3,26326,450
482,26326,447
488,26326,346
189,26326,208
480,26326,111
2387,26326,52
142,26326,32
117,26326,13
663,26326,10
586,26326,4
470,26328,2912
471,26328,1996
3,26328,450
482,26328,447
488,26328,346
189,26328,208
480,26328,111
2387,26328,52
142,26328,32
117,26328,13
663,26328,10
586,26328,4
58,26333,6
153,26333,2
30,26335,47
31,26335,4
34,26335,2
30,26341,335
31,26341,266
34,26341,32
35,26341,20
58,26341,2
586,26361,4
58,26453,6
470,26529,3963
471,26529,3679
189,26529,1109
480,26529,986
482,26529,556
3,26529,461
58,26610,6
175,26630,13
30,26630,2
3,26635,15
142,26635,5
153,26635,1
117,26647,3
3,26647,2
3,26672,33
83,26672,1
83,26675,5
142,26675,1
31,26675,1
58,26703,12
153,26703,4
470,26724,2912
471,26724,1996
3,26724,456
482,26724,450
488,26724,346
189,26724,209
480,26724,111
2387,26724,52
142,26724,32
